room_id,floor,zone,room_type,area_m2,orientation,has_daylight,energy_kwh_m2_yr,x_m,y_m,lat,lon
R101,1,North,Lobby,78.0,N,True,62.0,2.0,4.0,43.03940661157025,-76.1350754186006
R102,1,North,Gallery,44.2,N,True,71.5,10.0,4.0,43.03940661157025,-76.134977093003
R103,1,North,Office,18.5,E,True,58.0,18.0,4.0,43.03940661157025,-76.13487876740541
R104,1,South,Studio,62.5,S,True,95.0,2.0,22.0,43.039244915558754,-76.1350754186006
R105,1,South,Studio,58.0,S,True,91.5,10.0,22.0,43.039244915558754,-76.134977093003
R106,1,South,Office,16.0,W,False,74.0,18.0,22.0,43.039244915558754,-76.13487876740541
R201,2,North,Classroom,52.0,N,True,88.0,2.0,4.0,43.03940661157025,-76.1350754186006
R202,2,North,Classroom,54.5,N,True,84.5,10.0,4.0,43.03940661157025,-76.134977093003
R203,2,North,Office,17.0,E,True,60.5,18.0,4.0,43.03940661157025,-76.13487876740541
R204,2,South,Studio,65.0,S,True,98.0,2.0,22.0,43.039244915558754,-76.1350754186006
R205,2,South,Studio,60.5,S,True,93.0,10.0,22.0,43.039244915558754,-76.134977093003
R206,2,South,Office,15.5,W,False,,18.0,22.0,43.039244915558754,-76.13487876740541
R301,3,North,Classroom,50.0,N,True,86.0,2.0,4.0,43.03940661157025,-76.1350754186006
R302,3,North,Office,19.0,E,True,59.0,10.0,4.0,43.03940661157025,-76.134977093003
R303,3,North,Office,18.0,E,,61.5,18.0,4.0,43.03940661157025,-76.13487876740541
R304,3,South,Studio,63.5,S,True,96.5,2.0,22.0,43.039244915558754,-76.1350754186006
R305,3,South,Studio,59.5,S,True,90.0,10.0,22.0,43.039244915558754,-76.134977093003
R306,3,South,Server,8.0,W,False,410.0,18.0,22.0,43.039244915558754,-76.13487876740541
R307,3,South,Office,16.5,W,False,76.5,22.0,22.0,43.039244915558754,-76.13482960460661
R110,1,North,Closet,3.0,N,False,12.0,22.0,4.0,43.03940661157025,-76.13482960460661
R210,2,North,Office,17.5,E,True,60.0,22.0,4.0,43.03940661157025,-76.13482960460661
R211,2,South,Office,16.8,W,False,73.0,22.0,22.0,43.039244915558754,-76.13482960460661
R308,3,South,Office,17.2,W,False,75.0,10.0,26.0,43.03920898311176,-76.134977093003
R309,3,North,Gallery,120.0,N,True,68.0,6.0,0.0,43.03944254401725,-76.1350262558018
