alternative_id,wwr,shade_m,eui_kwh_m2
F-01,0.2,0.0,100.48
F-02,0.2,0.3,97.098
F-03,0.2,0.6,96.237
F-04,0.2,0.9,95.139
F-05,0.2,1.2,100.827
F-06,0.25,0.0,98.712
F-07,0.25,0.3,96.14
F-08,0.25,0.6,97.009
F-09,0.25,0.9,98.826
F-10,0.25,1.2,97.918
F-11,0.3,0.0,98.383
F-12,0.3,0.3,92.459
F-13,0.3,0.6,94.605
F-14,0.3,0.9,99.324
F-15,0.3,1.2,97.113
F-16,0.35,0.0,92.3
F-17,0.35,0.3,90.851
F-18,0.35,0.6,92.511
F-19,0.35,0.9,90.109
F-20,0.35,1.2,94.519
F-21,0.4,0.0,92.554
F-22,0.4,0.3,89.94
F-23,0.4,0.6,89.772
F-24,0.4,0.9,92.102
F-25,0.4,1.2,94.475
F-26,0.45,0.0,88.285
F-27,0.45,0.3,88.655
F-28,0.45,0.6,85.927
F-29,0.45,0.9,90.834
F-30,0.45,1.2,91.367
F-31,0.5,0.0,87.44
F-32,0.5,0.3,86.079
F-33,0.5,0.6,85.364
F-34,0.5,0.9,88.403
F-35,0.5,1.2,89.55
F-36,0.55,0.0,86.144
F-37,0.55,0.3,84.552
F-38,0.55,0.6,86.744
F-39,0.55,0.9,85.562
F-40,0.55,1.2,92.334
