variant_id,wwr,shade_m,glazing_shgc,compactness,orientation,eui_kwh_m2yr,est_annual_cost_index,meets_code
V001,0.45,0.891,0.52,1.131,E,31.02,4.341,0
V002,0.559,0.697,0.398,1.262,N,29.91,4.236,0
V003,0.51,0.512,0.276,0.839,E,26.21,3.798,1
V004,0.29,1.054,0.458,1.237,N,23.09,3.182,1
V005,0.32,0.494,0.553,0.809,E,25.62,3.564,1
V006,0.549,1.107,0.326,1.375,W,31.47,4.364,0
V007,0.202,0.082,0.356,1.081,N,21.02,2.982,1
V008,0.528,0.516,0.464,1.045,S,28.97,3.998,0
V009,0.519,0.623,0.549,1.232,E,30.4,4.232,0
V010,0.387,1.141,0.609,1.114,E,32.7,4.577,0
V011,0.321,0.301,0.3,1.239,W,30.36,4.201,0
V012,0.311,0.967,0.324,0.851,N,21.66,2.985,1
V013,0.302,0.812,0.57,1.138,W,28.5,3.966,0
V014,0.378,0.861,0.508,1.135,W,32.52,4.448,0
V015,0.402,0.756,0.538,1.359,S,29.68,4.083,0
V016,0.421,1.166,0.649,0.824,N,24.05,3.346,1
V017,0.598,0.399,0.626,1.072,S,37.19,5.214,0
V018,0.517,0.478,0.587,1.179,S,34.0,4.751,0
V019,0.449,0.243,0.561,1.13,W,33.23,4.564,0
V020,0.596,0.061,0.408,0.844,N,29.93,4.167,0
V021,0.286,0.255,0.506,1.156,W,33.06,4.668,0
V022,0.264,1.099,0.324,0.933,W,26.57,3.748,1
V023,0.445,1.008,0.554,0.917,N,27.25,3.811,0
V024,0.218,0.135,0.553,1.327,E,29.97,4.151,0
V025,0.214,0.725,0.539,0.919,N,17.92,2.54,1
V026,0.406,0.575,0.428,1.073,W,29.97,4.167,0
V027,0.386,0.714,0.401,1.25,W,27.79,3.832,0
V028,0.567,0.791,0.418,1.224,W,32.21,4.469,0
V029,0.452,0.368,0.263,1.132,S,31.54,4.488,0
V030,0.406,1.154,0.588,1.284,S,27.82,3.906,0
V031,0.399,0.559,0.467,1.079,S,25.08,3.569,1
V032,0.299,0.754,0.405,1.172,S,27.54,3.832,0
V033,0.205,0.762,0.469,1.291,W,23.63,3.355,1
V034,0.277,0.221,0.539,1.207,S,28.58,3.971,0
V035,0.477,0.074,0.403,1.185,E,30.18,4.217,0
V036,0.28,0.494,0.582,1.044,S,26.96,3.899,1
V037,0.348,0.917,0.618,1.135,N,20.43,2.899,1
V038,0.201,0.978,0.405,1.038,S,26.25,3.65,1
V039,0.532,0.876,0.305,1.247,S,30.74,4.299,0
V040,0.262,0.136,0.554,1.028,E,30.3,4.258,0
V041,0.307,1.096,0.647,1.08,W,30.68,4.356,0
V042,0.552,0.962,0.309,1.253,W,29.76,4.142,0
V043,0.404,1.053,0.535,1.102,E,22.45,3.056,1
V044,0.539,0.628,0.58,1.003,N,27.54,3.842,0
V045,0.456,1.099,0.618,1.296,N,25.1,3.515,1
V046,0.497,0.056,0.299,1.029,N,28.45,3.988,0
V047,0.237,0.036,0.287,1.307,E,27.56,3.924,0
V048,0.416,0.024,0.645,1.271,E,27.82,3.911,0
V049,0.403,0.303,0.297,1.068,W,29.49,4.169,0
V050,0.549,0.298,0.321,1.228,E,28.12,3.882,0
V051,0.345,0.225,0.48,0.821,W,28.5,4.033,0
V052,0.439,0.68,0.429,1.034,S,28.66,4.117,0
V053,0.224,0.047,0.55,1.316,W,28.47,4.024,0
V054,0.355,0.708,0.326,1.148,E,26.08,3.664,1
V055,0.329,0.199,0.616,1.135,N,27.2,3.816,0
V056,0.26,0.813,0.337,1.199,W,23.47,3.375,1
V057,0.527,0.025,0.558,1.207,N,28.72,3.974,0
V058,0.352,0.373,0.277,1.15,N,26.18,3.66,1
V059,0.591,1.126,0.439,1.052,W,33.97,4.779,0
V060,0.436,0.646,0.263,0.91,S,32.15,4.538,0
V061,0.442,0.974,0.376,0.976,N,28.36,3.949,0
V062,0.455,0.79,0.375,0.976,E,28.86,4.056,0
V063,0.471,0.733,0.538,1.058,W,27.93,3.896,0
V064,0.26,0.23,0.432,1.399,E,31.82,4.461,0
V065,0.376,0.689,0.273,1.012,S,26.57,3.713,1
V066,0.296,0.048,0.648,1.068,N,28.2,3.891,0
V067,0.361,0.962,0.605,1.023,W,26.2,3.667,1
V068,0.239,1.152,0.617,1.149,N,23.35,3.313,1
V069,0.587,1.025,0.349,1.369,S,30.36,4.202,0
V070,0.286,0.061,0.408,1.333,N,27.82,3.883,0
V071,0.469,0.406,0.341,1.026,S,27.38,3.866,0
V072,0.32,0.382,0.3,0.96,W,25.44,3.508,1
V073,0.55,0.135,0.263,1.331,N,37.06,5.198,0
V074,0.465,0.752,0.451,1.096,E,28.38,3.92,0
V075,0.253,0.957,0.299,1.211,W,23.5,3.347,1
V076,0.538,0.376,0.321,0.844,S,31.6,4.54,0
V077,0.578,1.035,0.594,1.32,E,33.13,4.739,0
V078,0.562,0.957,0.444,0.988,S,27.21,3.798,0
V079,0.428,0.155,0.323,1.097,E,29.01,4.098,0
V080,0.258,0.92,0.518,0.919,W,26.37,3.698,1
V081,0.277,1.059,0.356,1.052,E,23.8,3.337,1
V082,0.571,0.237,0.461,1.297,W,34.38,4.891,0
V083,0.421,0.688,0.363,1.297,S,33.21,4.583,0
V084,0.272,0.766,0.456,1.084,S,24.37,3.465,1
V085,0.554,0.731,0.501,1.261,E,31.55,4.415,0
V086,0.457,0.115,0.464,1.075,S,30.67,4.364,0
V087,0.428,0.793,0.408,1.024,S,31.67,4.443,0
V088,0.351,0.758,0.566,1.128,E,22.63,3.135,1
V089,0.364,0.989,0.599,0.921,N,23.2,3.262,1
V090,0.296,0.964,0.322,0.99,W,22.58,3.198,1
V091,0.215,0.393,0.305,1.224,S,27.84,3.899,0
V092,0.55,0.866,0.295,1.262,N,29.98,4.222,0
V093,0.387,1.041,0.642,0.834,S,30.17,4.198,0
V094,0.419,1.072,0.627,1.24,E,24.44,3.315,1
V095,0.329,0.194,0.342,1.29,E,30.45,4.308,0
V096,0.501,0.032,0.638,1.067,W,32.84,4.633,0
V097,0.21,0.781,0.333,0.837,E,20.25,2.842,1
V098,0.349,0.258,0.453,1.21,E,30.31,4.247,0
V099,0.212,0.676,0.449,0.948,E,21.34,3.039,1
V100,0.249,1.134,0.616,1.186,N,18.59,2.58,1
V101,0.587,0.455,0.266,1.026,N,28.58,3.966,0
V102,0.463,0.303,0.376,1.182,E,26.7,3.729,1
V103,0.371,0.548,0.49,0.955,N,24.65,3.51,1
V104,0.409,0.789,0.277,1.086,N,26.2,3.599,1
V105,0.549,0.121,0.345,1.115,E,32.79,4.65,0
V106,0.338,0.457,0.436,1.179,N,30.57,4.248,0
V107,0.436,0.16,0.602,0.922,S,30.95,4.278,0
V108,0.473,0.795,0.554,1.377,W,27.38,3.896,0
V109,0.342,0.997,0.582,0.973,E,23.71,3.315,1
V110,0.408,0.452,0.554,0.984,S,27.57,3.795,0
V111,0.506,0.446,0.533,0.954,S,28.37,3.954,0
V112,0.564,0.647,0.59,0.84,N,30.34,4.294,0
V113,0.26,0.258,0.523,1.054,N,24.51,3.491,1
V114,0.573,0.297,0.544,1.263,W,29.47,4.104,0
V115,0.202,0.396,0.371,1.226,E,27.08,3.812,0
V116,0.501,0.549,0.317,0.917,W,28.55,4.033,0
V117,0.524,0.098,0.553,0.882,N,31.63,4.396,0
V118,0.255,0.903,0.316,0.993,S,24.09,3.39,1
V119,0.368,0.695,0.618,1.261,W,30.86,4.319,0
V120,0.526,0.36,0.489,1.093,W,32.02,4.456,0
V121,0.206,0.093,0.382,1.354,N,29.36,4.086,0
V122,0.451,0.916,0.625,1.194,S,31.2,4.371,0
V123,0.517,0.157,0.312,1.173,E,32.36,4.532,0
V124,0.405,0.16,0.456,1.261,W,32.18,4.477,0
V125,0.49,0.157,0.287,1.25,N,26.67,3.713,1
V126,0.291,0.098,0.636,1.006,E,28.29,4.016,0
V127,0.279,1.088,0.48,0.954,W,23.21,3.26,1
V128,0.345,0.323,0.571,1.063,E,29.16,4.127,0
V129,0.272,0.368,0.363,1.094,E,22.8,3.252,1
V130,0.338,0.999,0.571,0.885,W,29.37,4.141,0
V131,0.579,0.744,0.531,1.065,E,31.21,4.483,0
V132,0.429,0.225,0.507,1.184,N,26.89,3.723,1
V133,0.336,0.522,0.63,0.881,E,23.05,3.267,1
V134,0.309,1.061,0.423,0.883,N,21.59,3.007,1
V135,0.581,0.45,0.416,0.904,N,29.46,4.217,0
V136,0.378,0.853,0.527,0.97,S,25.68,3.68,1
